Date,Vehicle Class,"Vehicle Year, Make, & Model",Average Fuel Efficiency,Equipment Number
2022-02,Intermediate Sedan,2019  TOYOTA  2019 TOYOTA CAMRY HYBRID,30,0668
2022-03,Compact Sedan,2011  TOYOTA  2011 TOYOTA PRIUS HYBRID,64,2947
2022-03,Intermediate Sedan,2019  TOYOTA  2019 TOYOTA CAMRY HYBRID,50,0668
2022-03,Intermediate Sedan,2022  TOYOTA  2022 TOYOTA CAMRY HYBRID,12,0883
2022-03,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,17,0795
2022-03,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,21,0797
2022-04,Intermediate Sedan,2019  TOYOTA  2019 TOYOTA CAMRY HYBRID,50,0668
2022-04,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,20,0740
2022-04,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,18,0768
2022-04,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0830
2022-05,Compact Sedan,2010  HONDA  2010 HONDA INSIGHT HYBRID,45,2845
2022-05,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,19,0740
